Alaska;Northern Territories,West Coast Pacific
Kyrgyzstan;Kazakh Desert,Uzbekistan,Tajikistan,Xinjiang,Tyan Shan
Kazakh Desert;Tyan Shan,Central Highlands,Kyrgyzstan,Uzbekistan,Mugodzhar Hills
Tyan Shan;Central Highlands,Kazakh Desert,Kyrgyzstan,Xinjiang
Central Highlands;North Kazakhstan,Mugodzhar Hills,Kazakh Desert,Tyan Shan,West Siberia,Xinjiang
North Kazakhstan;Ural,Mugodzhar Hills,Central Highlands,West Siberia
Mugodzhar Hills;Ural,North Kazakhstan,Central Highlands,Kazakh Desert,Ural,Turanian Lowlands,Uzbekistan
Turanian Lowlands;Volga,Ural,Mugodzhar Hills,Uzbekistan,Turkmenistan
Uzbekistan;Turanian Lowlands,Mugodzhar Hills,Turkmenistan,Kazakh Desert,Tajikistan,Kyrgyzstan,Afghanistan
Turkmenistan;Turanian Lowlands,Uzbekistan,Tehran,Mashhad,Afghanistan
Mashhad;Tehran,Isfahan,Turkmenistan,Afghanistan,Balochistan
Isfahan;Kermanshah,Tehran,Mashhad
Tehran;Tabriz,Kermanshah,Isfahan,Mashhad,Turkmenistan
Kermanshah;Southern Iraq,Central Iraq,Nothern Iraq,Tabriz,Tehran,Isfahan
Tabriz;Nothern Iraq,Kermanshah,Tehran,Central East Anatolia Region,Northeast Anatolia Region,Azerbaijan,Armenia
Azerbaijan;Armenia,Tabriz,North Caucasus,Georgia
Armenia;Azerbaijan,Tabriz,Northeast Anatolia Region,Georgia
Georgia;North Caucasus,Azerbaijan,Armenia,Northeast Anatolia Region,East Black Sea Region
Northern Malaysia;South Thailand,Malaysian East Coast,Central Malaysia
Malaysian East Coast;South Thailand,Northern Malaysia,Central Malaysia,Southern Malaysia
Central Malaysia;Northern Malaysia,Malaysian East Coast,Southern Malaysia
Southern Malaysia;Central Malaysia,Malaysian East Coast,Singapore
East Malaysia;Brunei,Kalimantan
Singapore;Southern Malaysia
Brunei;East Malaysia
Sumatra;
Java;
Kalimantan;East Malaysia
Bali;
Sulawesi;
Nusa Tenggara;East Timor
Maluku;
Papua;Papua New Guinea
Papua New Guinea;Papua
Southern Philippines;
Central Philippines;
Northern Philippines;
Pyongan;Manchuria,Baekdu Mountains,Donghae Coast,Hwanghae
Baekdu Mountains;Manchuria,Pyongan,Donghae Coast
Donghae Coast;Far East,Manchuria,Baekdu Mountains,Pyongan,Hwanghae,Gangwon,Gyeonggi
Hwanghae;Pyongan,Donghae Coast,Gyeonggi
Gyeonggi;Hwanghae,Gangwon,Donghae Coast,Chungcheong
Gangwon;Gyeonggi,Chungcheong,Gyeongsang,Donghae Coast
Gyeongsang;Jeolla,Chungcheong,Gangwon
Jeolla;Chungcheong,Gyeongsang
Chungcheong;Gyeonggi,Jeolla,Gyeongsang,Gangwon
Hokkaido;
Tohoku;Kanto,Chubu
Kanto;Chubu,Tohoku
Chubu;Kanto,Tohoku,Kansai
Kansai;Chuhoku,Chubu
Chuhoku;Kansai
Shikoku;
Kyushu;
Solomon Islands;
New Caledonia;
New Zealand;
Fiji;
Victoria;South Australia,New South Wales
New South Wales;South Australia,Queensland,Victoria
Queensland;Northern Territory,South Australia,New South Wales
Northern Territory;Western Australia,South Australia,Queensland
Western Australia;Northern Territory,South Australia
South Australia;Western Australia,Northern Territory,Queensland,New South Wales,Victoria
East Timor;Nusa Tenggara
Madagascar;
Falklands;
Mongolia;Xinjiang,Gansu,Outer Mongolia,East Siberia,West Siberia
Malta;
